Antennae,Arms,Eyes,Legs,Mouth,Pattern,Correct,Response,rt,rules_set,item_name,id,condition,planet_permutation,planet_reverse_permutation,age,gender,education,in_training,training_program,backstory_readtime,rules_readtime,pre_example_readtime,rules_repetition,intermediate_readtime,second_rules_readtime,presurvey_readtime,difficulty,demand,attentive,undisturbed,particularities,presumptions,planet1rules,planet2rules,planet3rules,planet4rules,correctness
2,2,3,4,None,None,1,1,9251,example_1,example_1,ALCHRURBZF,1,"{""1"":2,""2"":3,""3"":4,""4"":1}","{""1"":4,""2"":1,""3"":2,""4"":3}",19,female,high,True,medical biochemistry bsc,13584,35188,12505,2561,1810,20956,2476,3,3,4,True,-,-,,,,,True
2,4,2,2,No teeth,None,2,2,5600,example_2,example_2,ALCHRURBZF,1,"{""1"":2,""2"":3,""3"":4,""4"":1}","{""1"":4,""2"":1,""3"":2,""4"":3}",19,female,high,True,medical biochemistry bsc,13584,35188,12505,2561,1810,20956,2476,3,3,4,True,-,-,,,,,True
1,2,3,6,Teeth,Stripes,3,3,3147,example_3,example_3,ALCHRURBZF,1,"{""1"":2,""2"":3,""3"":4,""4"":1}","{""1"":4,""2"":1,""3"":2,""4"":3}",19,female,high,True,medical biochemistry bsc,13584,35188,12505,2561,1810,20956,2476,3,3,4,True,-,-,,,,,True
0,0,2,0,Teeth,Stripes,4,4,2006,example_4,example_4,ALCHRURBZF,1,"{""1"":2,""2"":3,""3"":4,""4"":1}","{""1"":4,""2"":1,""3"":2,""4"":3}",19,female,high,True,medical biochemistry bsc,13584,35188,12505,2561,1810,20956,2476,3,3,4,True,-,-,,,,,True
2,2,2,2,Teeth,None,1,1,4979,ruleset1,training_1,ALCHRURBZF,1,"{""1"":2,""2"":3,""3"":4,""4"":1}","{""1"":4,""2"":1,""3"":2,""4"":3}",19,female,high,True,medical biochemistry bsc,13584,35188,12505,2561,1810,20956,2476,3,3,4,True,-,-,,,,,True
2,4,1,0,Teeth,None,2,2,4337,ruleset1,training_2,ALCHRURBZF,1,"{""1"":2,""2"":3,""3"":4,""4"":1}","{""1"":4,""2"":1,""3"":2,""4"":3}",19,female,high,True,medical biochemistry bsc,13584,35188,12505,2561,1810,20956,2476,3,3,4,True,-,-,,,,,True
0,4,2,0,No teeth,Stripes,4,4,2676,ruleset1,training_4,ALCHRURBZF,1,"{""1"":2,""2"":3,""3"":4,""4"":1}","{""1"":4,""2"":1,""3"":2,""4"":3}",19,female,high,True,medical biochemistry bsc,13584,35188,12505,2561,1810,20956,2476,3,3,4,True,-,-,,,,,True
2,4,3,6,Teeth,None,2,2,3779,ruleset1,training_2,ALCHRURBZF,1,"{""1"":2,""2"":3,""3"":4,""4"":1}","{""1"":4,""2"":1,""3"":2,""4"":3}",19,female,high,True,medical biochemistry bsc,13584,35188,12505,2561,1810,20956,2476,3,3,4,True,-,-,,,,,True
1,4,3,6,Teeth,Stripes,3,3,3115,ruleset1,training_3,ALCHRURBZF,1,"{""1"":2,""2"":3,""3"":4,""4"":1}","{""1"":4,""2"":1,""3"":2,""4"":3}",19,female,high,True,medical biochemistry bsc,13584,35188,12505,2561,1810,20956,2476,3,3,4,True,-,-,,,,,True
2,4,1,4,Teeth,None,2,2,2459,ruleset1,training_2,ALCHRURBZF,1,"{""1"":2,""2"":3,""3"":4,""4"":1}","{""1"":4,""2"":1,""3"":2,""4"":3}",19,female,high,True,medical biochemistry bsc,13584,35188,12505,2561,1810,20956,2476,3,3,4,True,-,-,,,,,True
2,2,2,6,No teeth,None,1,1,1436,ruleset1,training_1,ALCHRURBZF,1,"{""1"":2,""2"":3,""3"":4,""4"":1}","{""1"":4,""2"":1,""3"":2,""4"":3}",19,female,high,True,medical biochemistry bsc,13584,35188,12505,2561,1810,20956,2476,3,3,4,True,-,-,,,,,True
1,0,2,6,No teeth,Stripes,4,4,2336,ruleset1,training_4,ALCHRURBZF,1,"{""1"":2,""2"":3,""3"":4,""4"":1}","{""1"":4,""2"":1,""3"":2,""4"":3}",19,female,high,True,medical biochemistry bsc,13584,35188,12505,2561,1810,20956,2476,3,3,4,True,-,-,,,,,True
1,0,3,0,No teeth,Stripes,3,3,1384,ruleset1,training_3,ALCHRURBZF,1,"{""1"":2,""2"":3,""3"":4,""4"":1}","{""1"":4,""2"":1,""3"":2,""4"":3}",19,female,high,True,medical biochemistry bsc,13584,35188,12505,2561,1810,20956,2476,3,3,4,True,-,-,,,,,True
2,2,2,0,None,None,1,1,1903,ruleset1,training_1,ALCHRURBZF,1,"{""1"":2,""2"":3,""3"":4,""4"":1}","{""1"":4,""2"":1,""3"":2,""4"":3}",19,female,high,True,medical biochemistry bsc,13584,35188,12505,2561,1810,20956,2476,3,3,4,True,-,-,,,,,True
2,4,2,0,Teeth,None,2,2,1231,ruleset1,training_2,ALCHRURBZF,1,"{""1"":2,""2"":3,""3"":4,""4"":1}","{""1"":4,""2"":1,""3"":2,""4"":3}",19,female,high,True,medical biochemistry bsc,13584,35188,12505,2561,1810,20956,2476,3,3,4,True,-,-,,,,,True
0,4,3,2,None,Stripes,3,3,2289,ruleset1,training_3,ALCHRURBZF,1,"{""1"":2,""2"":3,""3"":4,""4"":1}","{""1"":4,""2"":1,""3"":2,""4"":3}",19,female,high,True,medical biochemistry bsc,13584,35188,12505,2561,1810,20956,2476,3,3,4,True,-,-,,,,,True
0,4,3,6,No teeth,Stripes,3,3,1185,ruleset1,training_3,ALCHRURBZF,1,"{""1"":2,""2"":3,""3"":4,""4"":1}","{""1"":4,""2"":1,""3"":2,""4"":3}",19,female,high,True,medical biochemistry bsc,13584,35188,12505,2561,1810,20956,2476,3,3,4,True,-,-,,,,,True
0,0,2,2,None,Stripes,4,4,1799,ruleset1,training_4,ALCHRURBZF,1,"{""1"":2,""2"":3,""3"":4,""4"":1}","{""1"":4,""2"":1,""3"":2,""4"":3}",19,female,high,True,medical biochemistry bsc,13584,35188,12505,2561,1810,20956,2476,3,3,4,True,-,-,,,,,True
0,4,2,4,No teeth,Stripes,4,4,1176,ruleset1,training_4,ALCHRURBZF,1,"{""1"":2,""2"":3,""3"":4,""4"":1}","{""1"":4,""2"":1,""3"":2,""4"":3}",19,female,high,True,medical biochemistry bsc,13584,35188,12505,2561,1810,20956,2476,3,3,4,True,-,-,,,,,True
2,2,1,0,No teeth,None,1,1,2025,ruleset1,training_1,ALCHRURBZF,1,"{""1"":2,""2"":3,""3"":4,""4"":1}","{""1"":4,""2"":1,""3"":2,""4"":3}",19,female,high,True,medical biochemistry bsc,13584,35188,12505,2561,1810,20956,2476,3,3,4,True,-,-,,,,,True
2,4,3,6,None,None,2,3,1516,ruleset1,training_2,ALCHRURBZF,1,"{""1"":2,""2"":3,""3"":4,""4"":1}","{""1"":4,""2"":1,""3"":2,""4"":3}",19,female,high,True,medical biochemistry bsc,13584,35188,12505,2561,1810,20956,2476,3,3,4,True,-,-,,,,,False
1,2,2,4,Teeth,Stripes,4,4,4896,ruleset1,training_4,ALCHRURBZF,1,"{""1"":2,""2"":3,""3"":4,""4"":1}","{""1"":4,""2"":1,""3"":2,""4"":3}",19,female,high,True,medical biochemistry bsc,13584,35188,12505,2561,1810,20956,2476,3,3,4,True,-,-,,,,,True
1,4,3,0,No teeth,Stripes,3,3,863,ruleset1,training_3,ALCHRURBZF,1,"{""1"":2,""2"":3,""3"":4,""4"":1}","{""1"":4,""2"":1,""3"":2,""4"":3}",19,female,high,True,medical biochemistry bsc,13584,35188,12505,2561,1810,20956,2476,3,3,4,True,-,-,,,,,True
2,2,1,0,Teeth,None,1,1,4025,ruleset1,training_1,ALCHRURBZF,1,"{""1"":2,""2"":3,""3"":4,""4"":1}","{""1"":4,""2"":1,""3"":2,""4"":3}",19,female,high,True,medical biochemistry bsc,13584,35188,12505,2561,1810,20956,2476,3,3,4,True,-,-,,,,,True
1,0,3,4,No teeth,Stripes,3,3,4631,ruleset2b,test_memory_p3,ALCHRURBZF,1,"{""1"":2,""2"":3,""3"":4,""4"":1}","{""1"":4,""2"":1,""3"":2,""4"":3}",19,female,high,True,medical biochemistry bsc,13584,35188,12505,2561,1810,20956,2476,3,3,4,True,-,-,,,,,True
1,4,3,0,Teeth,Stripes,3,3,3006,ruleset2b,interference_old_p3,ALCHRURBZF,1,"{""1"":2,""2"":3,""3"":4,""4"":1}","{""1"":4,""2"":1,""3"":2,""4"":3}",19,female,high,True,medical biochemistry bsc,13584,35188,12505,2561,1810,20956,2476,3,3,4,True,-,-,,,,,True
2,2,1,6,No teeth,None,1,1,1363,ruleset2b,decoy,ALCHRURBZF,1,"{""1"":2,""2"":3,""3"":4,""4"":1}","{""1"":4,""2"":1,""3"":2,""4"":3}",19,female,high,True,medical biochemistry bsc,13584,35188,12505,2561,1810,20956,2476,3,3,4,True,-,-,,,,,True
